Begrotingsjaar,Uitgaven Ontvangsten Verplichtingen,Begrotingsnummer,Naam Begroting ,Artikel nummer,Artikel,Stand ontwerpbegroting,Stand vastgestelde begroting,Stand eerste suppletoire,Stand tweede suppletoire,Realisatie
2013,O,A,Infrastructuurfonds,12,Hoofdwegennet,262105,262105,127451,173148,150887
2013,U,A,Infrastructuurfonds,12,Hoofdwegennet,2728863,2728863,2574830,2469364,2481851
2013,V,A,Infrastructuurfonds,12,Hoofdwegennet,2634014,2634014,4292546,1853636,1698213
2013,O,A,Infrastructuurfonds,13,Railwegen,60000,60000,172581,216441,202042
2013,U,A,Infrastructuurfonds,13,Railwegen,2197753,2197753,2367705,2391363,2384292
2013,V,A,Infrastructuurfonds,13,Railwegen,1562567,1562567,3479875,2822143,2727691
2013,U,A,Infrastructuurfonds,14,"Regionaal, lokale infra",135983,135983,131498,246312,215678
2013,V,A,Infrastructuurfonds,14,"Regionaal, lokale infra",231724,231724,334816,863098,602679
2013,O,A,Infrastructuurfonds,14,"Regionaal, lokale infra",0,0,600,600,0
2013,O,A,Infrastructuurfonds,15,Hoofdvaarwegennet,30036,30036,39210,20942,10853
2013,U,A,Infrastructuurfonds,15,Hoofdvaarwegennet,844120,844120,899272,864477,864431
2013,V,A,Infrastructuurfonds,15,Hoofdvaarwegennet,893076,893076,1114418,850664,818272
2013,O,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,3000,3000,1099,99,2346
2013,U,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,54157,54157,50435,20452,14761
2013,V,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,35060,35060,40139,60583,14159
2013,O,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,0,0,147317,147317,147319
2013,U,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,273614,273614,276738,290602,287566
2013,V,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,270419,270419,268760,282542,276524
2013,O,A,Infrastructuurfonds,19,Bijdrage andere begrotingen Rijk,5879349,5879349,5812220,5719716,5722871
2013,O,B,Gemeentefonds,1,Gemeentefonds,0,0,0,51,51
2013,U,B,Gemeentefonds,1,Gemeentefonds,17963120,17963120,17889265,17945890,17988793
2013,V,B,Gemeentefonds,1,Gemeentefonds,17963120,17963120,17860586,17992211,17995671
2013,U,C,Provinciefonds,1,Provinciefonds,1138214,1138214,1527892,1553059,1553052
2013,V,C,Provinciefonds,1,Provinciefonds,1138214,1138214,1527568,1552735,1552656
2013,O,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,U,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,V,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,U,H,BES-fonds,1,BES-fonds,32093,32093,34012,34081,35688
2013,V,H,BES-fonds,1,BES-fonds,32093,32093,34012,34081,35688
2013,U,I,De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,7277,7277,7457,7457,7463
2013,V,I,De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,7277,7277,7457,7457,7463
2013,O,I,De Koning,2,Functionele uitgaven van de Koning,0,0,293,293,293
2013,U,I,De Koning,2,Functionele uitgaven van de Koning,26995,26995,27025,27025,27025
2013,V,I,De Koning,2,Functionele uitgaven van de Koning,26995,26995,27025,27025,27025
2013,O,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,0,0,125,125,125
2013,U,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,5661,5661,5673,5894,6118
2013,V,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,5661,5661,5673,5894,6118
2013,O,IIA,Staten-Generaal,1,Wetgeving en controle Eerste Kamer,79,79,79,90,204
2013,U,IIA,Staten-Generaal,1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11807
2013,V,IIA,Staten-Generaal,1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11844
2013,O,IIA,Staten-Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,86,86,86,86,86
2013,U,IIA,Staten-Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890
2013,V,IIA,Staten-Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890
2013,O,IIA,Staten-Generaal,3,Wetgeving en controle Tweede Kamer,2766,2766,4966,4966,4766
2013,U,IIA,Staten-Generaal,3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,95429
2013,V,IIA,Staten-Generaal,3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,97690
2013,O,IIA,Staten-Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,23,23,23,23,0
2013,U,IIA,Staten-Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1384
2013,V,IIA,Staten-Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1285
2013,U,IIA,Staten-Generaal,10,Nominaal en onvoorzien,-2800,-2970,543,-533,0
